Wavelength,Abs,Wavelength2,PL
188.288,-0.27,610.26129,0.00321
188.764,-0.27,610.53528,0.00175
189.24,-0.27,610.80927,0.00175
189.717,-0.26,611.08325,0.00233
190.193,-0.19,611.35724,0.00292
190.669,-0.19,611.63123,0.000875
191.145,-0.08,611.90521,0.00175
191.622,-0.19,612.17914,0.00379
192.098,-0.39,612.45312,0.000583
192.574,-0.68,612.72711,0.00379
193.05,-1.22,613.0011,0.00292
193.526,-0.51,613.27509,0.00204
194.002,-0.19,613.54901,0.00292
194.479,-0.08,613.823,0.00146
194.955,-0.08,614.09698,0.000292
195.431,-0.38,614.37091,0.00233
195.907,-0.52,614.6449,0.00262
196.383,-0.19,614.91888,0.00175
196.859,-1.06,615.19281,0.00262
197.335,-0.19,615.4668,0.00146
197.811,-0.33,615.74072,0.000583
198.287,-0.1,616.01471,-0.000875
198.763,-0.19,616.2887,0.00262
199.239,-0.46,616.56262,0.000875
199.715,-0.19,616.83661,0.00292
200.191,0.23,617.11053,0.00175
200.667,0.8,617.38452,0.00175
201.143,0.61,617.65845,0.00321
201.619,0.5,617.93243,0.00262
202.094,0.67,618.20636,0.00321
202.57,0.72,618.48029,0.00146
203.046,0.28,618.75427,0.0035
203.522,0.68,619.0282,0.00233
203.998,-0.19,619.30219,0.00175
204.474,0.93,619.57611,0.000583
204.949,0.68,619.85004,0.00321
205.425,0.7,620.12402,0.00321
205.901,0.81,620.39795,0.00204
206.377,0.83,620.67188,0.000583
206.852,0.64,620.9458,0.00117
207.328,0.65,621.21979,0.00292
207.804,0.66,621.49371,0.00204
208.279,0.44,621.76764,0.00146
208.755,-0.19,622.04156,0.0035
209.231,0.42,622.31549,0.00233
209.706,0.86,622.58942,0.00117
210.182,0.79,622.86334,0.000875
210.657,0.46,623.13727,0.000875
211.133,0.85,623.41125,0.000875
211.608,1.27,623.68518,0.000875
212.084,1.24,623.95911,0.00437
212.559,0.39,624.23303,0.00175
213.035,0.68,624.50696,0.000875
213.51,1.18,624.78088,0.00146
213.986,0.91,625.05475,0.000583
214.461,0.61,625.32867,0.000583
214.937,-0.19,625.6026,0.000875
215.412,0.77,625.87653,0.000875
215.888,0.6,626.15045,0.00321
216.363,0.4,626.42438,0.00233
216.838,0.59,626.6983,0.00146
217.314,0.69,626.97217,-0.000583
217.789,0.75,627.24609,0.00321
218.264,1.1,627.52002,0.000583
218.74,0.36,627.79395,0.00262
219.215,0.52,628.06781,-0.000292
219.69,-0.19,628.34174,0.00117
220.165,0.61,628.61566,0.00292
220.641,-0.19,628.88953,0.00204
221.116,0.92,629.16345,0.00321
221.591,0.85,629.43732,0.00233
222.066,0.78,629.71124,0.00146
222.541,0.51,629.98511,0.00262
223.016,0.62,630.25903,0
223.492,0.8,630.5329,0
223.967,0.43,630.80682,0.0035
224.442,0.78,631.08069,0.000292
224.917,0.82,631.35461,0.0035
225.392,0.92,631.62848,0.00204
225.867,0.44,631.90234,0.00233
226.342,0.74,632.17627,0.00204
226.817,-0.19,632.45013,0.00233
227.292,0.33,632.724,0.00408
227.767,0.39,632.99792,0.00379
228.242,0.82,633.27179,0.0035
228.717,0.45,633.54565,0.00117
229.192,1.89,633.81952,0.00379
229.667,0.49,634.09338,0.00117
230.142,0.81,634.36731,0.00321
230.617,0.61,634.64117,0.00262
231.091,1.47,634.91504,0.00146
231.566,0.51,635.1889,0.00233
232.041,0.67,635.46277,-0.000583
232.516,0.32,635.73663,0.000875
232.991,1.11,636.0105,-0.000583
233.465,1.06,636.28436,0.00233
233.94,0.25,636.55823,0.00321
234.415,0.33,636.83209,0.00321
234.89,-0.19,637.10596,0.00233
235.364,0.25,637.37976,0.000292
235.839,-0.19,637.65363,0.00175
236.314,0.72,637.92749,-0.000583
236.788,0.32,638.20135,0.000875
237.263,0.46,638.47522,0.00204
237.738,0.39,638.74902,0.00204
238.212,0.34,639.02289,0.00146
238.687,0.26,639.29675,0.00204
239.161,0.41,639.57056,0.000875
239.636,0.4,639.84442,0.00117
240.11,0.49,640.11829,0.00204
240.585,-0.19,640.39209,0.00262
241.059,0.51,640.66595,0.00204
241.534,0.28,640.93976,0.000583
242.008,0.46,641.21362,0.00466
242.483,0.45,641.48743,0
242.957,0.66,641.76129,0.00233
243.432,0.87,642.0351,0.00292
243.906,0.56,642.3089,-0.000583
244.38,0.6,642.58276,0.000875
244.855,0.41,642.85657,0.000875
245.329,0.35,643.13037,0.00117
245.804,0.34,643.40417,0.00379
246.278,0.66,643.67804,0.00175
246.752,0.69,643.95184,0.00117
247.226,0.47,644.22565,0.00233
247.701,0.59,644.49945,0.00408
248.175,0.37,644.77325,0.0035
248.649,0.39,645.04706,0.000583
249.123,0.79,645.32086,0.00204
249.598,0.53,645.59467,0.00117
250.072,0.54,645.86847,0.00204
250.546,0.48,646.14227,0
251.02,0.62,646.41608,-0.000583
251.494,0.53,646.68988,0.000583
251.968,0.61,646.96368,0.00262
252.442,0.34,647.23749,0.00379
252.916,0.51,647.51129,0.00175
253.39,0.33,647.7851,0.00262
253.864,0.25,648.05884,0.00117
254.338,0.41,648.33264,0.000583
254.812,0.5,648.60645,0.000875
255.286,0.52,648.88019,0.00117
255.76,0.3,649.15399,0.00233
256.234,0.51,649.4278,0.00292
256.708,0.51,649.70154,0.00321
257.182,0.41,649.97534,0.00292
257.656,0.51,650.24908,0.00175
258.13,0.46,650.52289,0.00146
258.604,0.55,650.79663,0.00408
259.078,0.34,651.07043,0.00204
259.551,0.56,651.34418,0.00262
260.025,0.53,651.61792,0.00262
260.499,0.41,651.89172,0.00262
260.973,0.54,652.16547,0.00408
261.447,0.5,652.43921,0.00379
261.92,0.44,652.71295,0.00379
262.394,0.5,652.98676,0.00321
262.868,0.7,653.2605,0.0035
263.341,0.5,653.53424,0.00233
263.815,0.48,653.80798,0.00262
264.289,0.38,654.08173,0.00408
264.762,0.5,654.35547,0.00146
265.236,0.41,654.62921,0.00204
265.709,0.52,654.90295,0.00204
266.183,0.83,655.1767,0.00321
266.657,0.65,655.45044,0.00175
267.13,0.57,655.72418,0.00233
267.604,0.5,655.99786,0.00262
268.077,0.46,656.27161,0.00321
268.551,0.86,656.54535,0.00146
269.024,0.69,656.81909,0.00496
269.498,0.5,657.09277,0.00175
269.971,0.41,657.36652,0.00321
270.444,0.54,657.64026,0.00321
270.918,0.91,657.91394,0.00262
271.391,0.83,658.18768,0.00233
271.864,0.7,658.46136,0.00117
272.338,0.74,658.73511,0.00262
272.811,0.58,659.00879,0.00204
273.284,0.69,659.28253,0.00408
273.758,0.53,659.55621,0.00233
274.231,0.4,659.8299,0.00321
274.704,0.68,660.10364,0.00408
275.177,0.63,660.37732,0.00292
275.651,0.51,660.651,0.00233
276.124,0.69,660.92468,0.00379
276.597,0.42,661.19843,0.00321
277.07,0.47,661.47211,0.00175
277.543,0.88,661.74579,0.00292
278.016,0.54,662.01947,0.00496
278.49,0.7,662.29315,0.00262
278.963,0.52,662.56683,0.00321
279.436,0.44,662.84052,0.00408
279.909,0.51,663.1142,0.00262
280.382,0.53,663.38788,0.00466
280.855,0.7,663.6615,0.00321
281.328,1.24,663.93518,0.00321
281.801,0.48,664.20886,0.0035
282.274,0.6,664.48254,0.00175
282.747,0.93,664.75616,0.00146
283.22,0.93,665.02985,0.00233
283.693,0.98,665.30353,0.00204
284.165,0.65,665.57715,0.00117
284.638,0.5,665.85083,0.0035
285.111,0.47,666.12445,0.0035
285.584,0.73,666.39813,0.00146
286.057,0.69,666.67175,0.00204
286.53,0.57,666.94543,0.0035
287.002,0.89,667.21906,0.00146
287.475,0.58,667.49268,0.00408
287.948,0.62,667.76636,0.00262
288.421,0.6,668.03998,0.00496
288.893,0.59,668.3136,0.00321
289.366,0.55,668.58722,0.00146
289.839,1.62,668.86084,0.00466
290.311,0.65,669.13446,0.00554
290.784,1.4,669.40808,0.00233
291.256,1.78,669.6817,0.00408
291.729,0.84,669.95532,0.00525
292.202,0.78,670.22894,0.00204
292.674,-0.19,670.50256,0.00437
293.147,0.92,670.77618,0.00321
293.619,0.82,671.0498,0.00175
294.092,1.46,671.32343,0.00175
294.564,0.91,671.59698,0.0035
295.037,1,671.87061,0.00321
295.509,1.58,672.14423,0.00408
295.982,1,672.41779,0.00408
296.454,0.97,672.69141,0.00233
296.926,1.23,672.96497,0.00292
297.399,1.31,673.23859,0.00437
297.871,1.14,673.51215,0.0035
298.343,1.66,673.78577,0.00466
298.816,1.17,674.05933,0.00292
299.288,1.15,674.33295,0.0035
299.76,1.57,674.60651,0.00583
300.233,1.24,674.88007,0.00321
300.705,1.56,675.15363,0.00379
301.177,1.48,675.42719,0.00612
301.649,1.64,675.70081,0.00437
302.121,1.62,675.97437,0.00525
302.594,2.18,676.24792,0.00525
303.066,2.04,676.52148,0.00437
303.538,1.9,676.79504,0.0035
304.01,1.78,677.0686,0.00466
304.482,1.56,677.3421,0.00292
304.954,1.61,677.61566,0.00408
305.426,2.65,677.88922,0.00525
305.898,1.7,678.16278,0.00466
306.37,1.78,678.43634,0.00554
306.842,2.37,678.70984,0.00525
307.314,1.72,678.9834,0.00496
307.786,1.86,679.2569,0.00466
308.258,1.89,679.53046,0.00466
308.73,1.87,679.80396,0.00408
309.202,1.91,680.07751,0.00641
309.674,1.87,680.35101,0.00466
310.146,1.79,680.62457,0.00466
310.617,2.05,680.89807,0.00379
311.089,2.21,681.17157,0.00437
311.561,2.02,681.44507,0.00437
312.033,1.96,681.71863,0.00612
312.505,2.44,681.99213,0.00671
312.976,2,682.26562,0.00525
313.448,2.28,682.53912,0.00554
313.92,2.22,682.81262,0.00729
314.391,2.92,683.08612,0.00787
314.863,2.71,683.35962,0.00466
315.335,2.45,683.63312,0.007
315.806,2.32,683.90662,0.007
316.278,2.54,684.18005,0.00729
316.75,2.37,684.45355,0.00816
317.221,2.76,684.72705,0.00671
317.693,2.37,685.00049,0.00437
318.164,2.43,685.27399,0.00496
318.636,2.27,685.54749,0.00641
319.107,2.48,685.82092,0.00641
319.579,3.99,686.09442,0.00641
320.05,2.82,686.36786,0.00612
320.522,2.41,686.6413,0.00612
320.993,2.23,686.91479,0.00496
321.465,2.43,687.18823,0.007
321.936,2.31,687.46167,0.00845
322.407,2.76,687.73511,0.00612
322.879,2.64,688.00861,0.00671
323.35,2.52,688.28204,0.00554
323.821,2.47,688.55548,0.00875
324.293,2.78,688.82892,0.007
324.764,2.83,689.10236,0.00758
325.235,2.53,689.37579,0.007
325.706,2.57,689.64923,0.00816
326.178,2.77,689.92261,0.00845
326.649,2.6,690.19604,0.00845
327.12,2.51,690.46948,0.00787
327.591,2.53,690.74292,0.00991
328.062,2.5,691.0163,0.01137
328.533,2.7,691.28973,0.00991
329.004,2.57,691.56311,0.00933
329.475,3.1,691.83655,0.0105
329.947,2.57,692.10992,0.01254
330.418,2.6,692.38336,0.00991
330.889,2.68,692.65674,0.00991
331.36,2.79,692.93011,0.01224
331.831,2.69,693.20355,0.00991
332.301,2.94,693.47693,0.01195
332.772,2.85,693.75031,0.00991
333.243,2.59,694.02368,0.00904
333.714,2.68,694.29706,0.01224
334.185,2.5,694.57043,0.01166
334.656,2.62,694.84381,0.01079
335.127,2.51,695.11719,0.01283
335.598,2.57,695.39056,0.01312
336.068,2.62,695.66394,0.01312
336.539,2.65,695.93726,0.01254
337.01,2.85,696.21063,0.01429
337.481,2.53,696.48401,0.01166
337.951,2.52,696.75732,0.01487
338.422,2.59,697.0307,0.01662
338.893,2.93,697.30408,0.0137
339.363,2.57,697.57739,0.0137
339.834,2.61,697.85071,0.01399
340.305,2.83,698.12408,0.01691
340.775,2.9,698.3974,0.01662
341.246,2.75,698.67072,0.01895
341.717,2.57,698.94409,0.01545
342.187,2.91,699.21741,0.01691
342.658,2.88,699.49072,0.01778
343.128,2.79,699.76404,0.01749
343.599,2.6,700.03735,0.01837
344.069,2.55,700.31067,0.01603
344.539,2.84,700.58398,0.01866
345.01,2.38,700.8573,0.01953
345.48,2.64,701.13055,0.01778
345.951,2.66,701.40387,0.02187
346.421,2.79,701.67719,0.0207
346.891,2.57,701.9505,0.01895
347.362,2.6,702.22375,0.02187
347.832,2.59,702.49707,0.0207
348.302,2.59,702.77032,0.02099
348.773,2.96,703.04364,0.02303
349.243,2.53,703.31689,0.02536
349.713,2.62,703.59015,0.0242
350.183,2.83,703.86346,0.02449
350.653,2.62,704.13672,0.02391
351.124,2.52,704.40997,0.02362
351.594,2.88,704.68323,0.02391
352.064,2.78,704.95648,0.02362
352.534,2.5,705.22974,0.02915
353.004,2.65,705.50299,0.02595
353.474,2.76,705.77625,0.02536
353.944,2.72,706.0495,0.02799
354.414,2.6,706.32275,0.02828
354.884,2.57,706.59601,0.02799
355.354,2.68,706.8692,0.02886
355.824,2.82,707.14246,0.0309
356.294,2.62,707.41571,0.03178
356.764,2.59,707.6889,0.03499
357.234,2.78,707.96216,0.03236
357.704,2.62,708.23535,0.03528
358.174,2.79,708.50854,0.0344
358.644,2.61,708.7818,0.03324
359.113,2.52,709.05499,0.03557
359.583,2.64,709.32819,0.03732
360.053,2.67,709.60138,0.03528
360.523,2.62,709.87463,0.03644
360.993,2.63,710.14783,0.04257
361.462,2.75,710.42102,0.04082
361.932,2.5,710.69421,0.03878
362.402,2.7,710.96735,0.04431
362.871,2.78,711.24054,0.04257
363.341,2.76,711.51373,0.04286
363.811,2.52,711.78693,0.04548
364.28,2.7,712.06006,0.04694
364.75,2.52,712.33325,0.04606
365.219,2.67,712.60645,0.04781
365.689,2.83,712.87958,0.04985
366.158,2.75,713.15277,0.05015
366.628,2.61,713.4259,0.04927
367.097,2.68,713.69904,0.05423
367.567,2.57,713.97217,0.05044
368.036,2.91,714.24536,0.05423
368.506,3.68,714.51849,0.05248
368.975,2.76,714.79163,0.06064
369.445,2.67,715.06476,0.05423
369.914,2.76,715.33789,0.05918
370.383,2.77,715.61102,0.05889
370.853,2.75,715.88416,0.0621
371.322,2.9,716.15729,0.06618
371.791,2.8,716.43036,0.06618
372.26,2.69,716.70349,0.06531
372.73,2.85,716.97662,0.06822
373.199,2.66,717.24969,0.06676
373.668,2.63,717.52283,0.06793
374.137,2.64,717.7959,0.06939
374.606,2.72,718.06903,0.07551
375.075,2.57,718.3421,0.0688
375.545,2.6,718.61517,0.07901
376.014,2.88,718.88831,0.07318
376.483,2.89,719.16138,0.07988
376.952,2.75,719.43445,0.08134
377.421,2.73,719.70752,0.0828
377.89,2.54,719.98059,0.08863
378.359,2.66,720.25366,0.0828
378.828,2.73,720.52673,0.08426
379.297,2.97,720.7998,0.0898
379.766,2.91,721.07281,0.09067
380.235,2.94,721.34589,0.09155
380.703,2.72,721.61896,0.0965
381.172,2.76,721.89197,0.09708
381.641,2.73,722.16504,0.10029
382.11,2.68,722.43805,0.10321
382.579,2.7,722.71112,0.09942
383.048,2.84,722.98413,0.1035
383.516,2.8,723.25714,0.10845
383.985,2.59,723.53021,0.11166
384.454,2.68,723.80322,0.11662
384.922,2.65,724.07623,0.11195
385.391,2.68,724.34924,0.11691
385.86,2.87,724.62225,0.12041
386.328,2.74,724.89526,0.12478
386.797,2.52,725.16827,0.12449
387.266,2.83,725.44122,0.12595
387.734,2.93,725.71423,0.12711
388.203,2.74,725.98724,0.13411
388.671,3.17,726.26019,0.1344
389.14,2.89,726.5332,0.1379
389.608,2.98,726.80621,0.14373
390.077,2.69,727.07916,0.14606
390.545,2.87,727.35211,0.1481
391.014,2.56,727.62512,0.15073
391.482,2.71,727.89807,0.15015
391.95,2.8,728.17102,0.16181
392.419,2.65,728.44397,0.16035
392.887,2.81,728.71692,0.16706
393.355,2.95,728.98987,0.1688
393.824,2.74,729.26282,0.17026
394.292,2.6,729.53577,0.17784
394.76,2.57,729.80872,0.1793
395.229,2.63,730.08167,0.17784
395.697,2.64,730.35455,0.18338
396.165,2.78,730.6275,0.18746
396.633,2.67,730.90045,0.18892
397.101,2.56,731.17334,0.20175
397.569,2.78,731.44623,0.20204
398.038,2.76,731.71918,0.20612
398.506,2.56,731.99207,0.20904
398.974,2.84,732.26495,0.21079
399.442,2.64,732.5379,0.21749
399.91,2.55,732.81079,0.22566
400.378,3.03,733.08368,0.22566
400.846,2.69,733.35657,0.23324
401.314,2.7,733.62946,0.23703
401.782,2.89,733.90228,0.24111
402.25,2.73,734.17517,0.2414
402.717,2.74,734.44806,0.25102
403.185,2.89,734.72095,0.25627
403.653,2.84,734.99377,0.26356
404.121,2.75,735.26666,0.26822
404.589,2.9,735.53949,0.2723
405.057,2.74,735.81238,0.28163
405.524,2.7,736.08521,0.27872
405.992,2.85,736.35803,0.29038
406.46,2.68,736.63086,0.29621
406.928,2.65,736.90375,0.3035
407.395,2.89,737.17657,0.30671
407.863,2.76,737.4494,0.3172
408.331,2.62,737.72223,0.32478
408.798,2.88,737.99506,0.32741
409.266,2.61,738.26782,0.33149
409.733,2.67,738.54065,0.33673
410.201,3.06,738.81348,0.35219
410.668,2.75,739.08624,0.35656
411.136,2.6,739.35907,0.36793
411.603,3,739.63184,0.37114
412.071,2.61,739.90466,0.37988
412.538,2.66,740.17743,0.38805
413.006,2.79,740.4502,0.40146
413.473,2.73,740.72302,0.39738
413.941,2.62,740.99579,0.4137
414.408,3.08,741.26855,0.41749
414.875,2.75,741.54132,0.42449
415.343,2.53,741.81409,0.43936
415.81,2.92,742.08685,0.45773
416.277,2.66,742.35962,0.45714
416.744,2.77,742.63232,0.46472
417.212,3.38,742.90509,0.46968
417.679,2.56,743.17786,0.48017
418.146,2.61,743.45056,0.48717
418.613,2.72,743.72333,0.49038
419.08,2.56,743.99603,0.5035
419.548,2.93,744.26874,0.51458
420.015,2.81,744.5415,0.53586
420.482,2.95,744.81421,0.53761
420.949,2.42,745.08691,0.54577
421.416,2.8,745.35962,0.55335
421.883,2.66,745.63232,0.56676
422.35,2.78,745.90503,0.5793
422.817,2.65,746.17773,0.57434
423.284,2.63,746.45038,0.59796
423.751,2.47,746.72308,0.59621
424.218,2.66,746.99579,0.61254
424.684,2.73,747.26843,0.62216
425.151,2.7,747.54114,0.63528
425.618,2.77,747.81378,0.64636
426.085,2.9,748.08649,0.6519
426.552,2.62,748.35913,0.64723
427.019,2.6,748.63177,0.66735
427.485,2.87,748.90442,0.6723
427.952,2.72,749.17706,0.68455
428.419,2.69,749.44971,0.70321
428.885,2.7,749.72235,0.70641
